Item_ID  ,ItemName ,Price ,Ingredients ,Storefront_ID 
1,Apple,49.99,flour,1
2,Avocado,15.99,chocolate chips,2
3,BBQ Bean Panini with Guacamole,39.99,milk,3
4,BBQ Beef Casserole with Tomato Salsa,34.99,salt,4
5,BBQ Broccoli Pad Thai with Coleslaw,4.99,baking powder,5
6,BBQ Carrot Pad Thai with Garlic Bread,39.99,butter,6
7,BBQ Cauliflower Pizza,49.99,flour,7
8,BBQ Cauliflower Ramen with Vegetables,5.99,milk,8
9,BBQ Cauliflower Salad,24.99,sugar,9
10,BBQ Chicken Salad,22.99,chocolate chips,10
11,BBQ Chickpea Casserole with Hummus,19.99,baking powder,11
12,BBQ Chickpea Nachos with Rice,24.99,pepper,12
13,BBQ Chickpea Risotto,2.99,pepper,13
14,BBQ Egg Stew,34.99,sugar,14
15,BBQ Eggplant Curry with Chimichurri,1.99,baking powder,15
16,BBQ Eggplant Skewers,39.99,sugar,16
17,BBQ Kale Casserole,3.99,sugar,17
18,BBQ Kale Casserole with Coleslaw,15.99,sugar,18
19,BBQ Lamb Skewers,99.99,chocolate chips,19
20,BBQ Lamb Stew,12.99,milk,20
21,BBQ Lentil Burrito with Guacamole,3.49,chocolate chips,21
22,BBQ Lentil Grain Bowl,4.99,vanilla extract,22
23,BBQ Lentil Shawarma with Tahini,4.99,pepper,23
24,BBQ Mushroom Skewers,79.99,pepper,24
25,BBQ Noodle Burrito,2.99,vanilla extract,25
26,BBQ Paneer Burger,24.99,eggs,26
27,BBQ Paneer Sushi Roll,3.99,salt,27
28,BBQ Pork Omelette,35,sugar,28
29,BBQ Pork Salad with Mashed Potatoes,99.99,pepper,29
30,BBQ Pork Shawarma,5.99,butter,30
31,BBQ Potato Stir Fry with Tomato Salsa,3.99,milk,31
32,BBQ Quinoa Spring Rolls with Chimichurri,6.49,sugar,32
33,BBQ Salmon Grain Bowl with Fries,18.99,pepper,33
34,BBQ Shrimp Dumplings,44.99,flour,34
35,BBQ Shrimp Omelette with Herb Butter,4.49,sugar,35
36,BBQ Shrimp Omelette with Tomato Salsa,14.99,milk,36
37,BBQ Shrimp Sandwich with Lemon Wedges,79.99,sugar,37
38,BBQ Shrimp Sandwich with Pita,2.99,baking powder,38
39,BBQ Spinach Nachos,129.99,milk,39
40,BBQ Sweet Potato Burger with Yogurt Sauce,9.99,eggs,40
41,BBQ Sweet Potato Curry,2.99,butter,41
42,BBQ Sweet Potato Pad Thai with Pita,39.99,butter,42
43,BBQ Tofu Casserole,3.49,milk,43
44,BBQ Tofu Curry,39.99,salt,44
45,BBQ Tofu Paella,34.99,pepper,45
46,BBQ Turkey Stir Fry,3.99,chocolate chips,46
47,BBQ Zucchini Curry,89.99,flour,47
48,BBQ Zucchini Ramen with Mashed Potatoes,39.99,vanilla extract,48
49,BBQ Zucchini Spring Rolls,69.99,flour,49
50,Baked Bean Pad Thai with Hummus,6.29,vanilla extract,50
51,Baked Beef Kebab,15.99,baking powder,51
52,Baked Beef Udon with Tomato Salsa,9.99,baking powder,52
53,Baked Broccoli Pad Thai with Rice,15.99,baking powder,53
54,Baked Carrot Spring Rolls with Vegetables,49.99,baking powder,54
55,Baked Cauliflower Pad Thai,2.49,flour,55
56,Baked Egg Dumplings,3.99,pepper,56
57,Baked Egg Shawarma,22.99,eggs,57
58,Baked Halloumi Skewers with Mashed Potatoes,3.79,butter,58
59,Baked Lamb Grain Bowl,4.49,milk,59
60,Baked Lamb Skewers,5.99,pepper,60
61,Baked Lentil Paella with Cheese,34.99,chocolate chips,61
62,Baked Lentil Skewers,14.99,salt,62
63,Baked Mushroom Burrito,24.99,eggs,63
64,Baked Mushroom Omelette,49.99,eggs,64
65,Baked Mushroom Risotto with Noodles,19.99,salt,65
66,Baked Noodle Burrito with Hummus,29.99,pepper,66
67,Baked Noodle Risotto with Cheese,39.99,pepper,67
68,Baked Noodle Skewers with Tahini,22,baking powder,68
69,Baked Noodle Wrap with Lemon Wedges,8.99,milk,69
70,Baked Paneer Curry with Side Salad,5.99,butter,70
71,Baked Paneer Pizza with Yogurt Sauce,149.99,vanilla extract,71
72,Baked Paneer Shawarma with Garlic Bread,3.29,eggs,72
73,Baked Pasta Fajitas with Chimichurri,59.99,eggs,73
74,Baked Pork Kebab,39.99,eggs,74
75,Baked Pork Omelette with Coleslaw,24.99,baking powder,75
76,Baked Pork Pizza,3.99,milk,76
